DATA INCENDI,CODI COMARCA,COMARCA,CODI MUNICIPI,TERME MUNICIPAL,HA ARBRADES,HA NO ARBRADES,HA NO FORESTALS,HA FORESTALS
23/06/2021,10,Baix Empordà,170767,Garrigoles,3,0,0,3
24/06/2021,10,Baix Empordà,171175,Palafrugell,0,0,0,0
24/06/2021,40,Vallès Occidental,082606,Santa Perpètua de Mogoda,0,0,0,0
24/06/2021,10,Baix Empordà,171812,Santa Cristina d'Aro,0,0,0,0
24/06/2021,03,Alt Penedès,080850,Font-rubí,0,10,0,10
24/06/2021,11,Baix Llobregat,081580,"Papiol, el",0,2,0,2
24/06/2021,21,Maresme,080095,Argentona,1169,82,63,1251
24/06/2021,13,Barcelonès,080193,Barcelona,0,10,0,10
24/06/2021,40,Vallès Occidental,080517,Castellar del Vallès,0,1,0,1
24/06/2021,08,Baix Camp,430332,Botarell,0,90,0,90
24/06/2021,36,Tarragonès,431482,Tarragona,1,0,0,1
24/06/2021,13,Barcelonès,080193,Barcelona,7,0,0,7
24/06/2021,40,Vallès Occidental,081878,Sabadell,0,1,0,1
25/06/2021,20,Gironès,171637,Sant Gregori,31,0,0,31
25/06/2021,20,Gironès,170792,Girona,3,1,0,4
25/06/2021,23,Noguera,251348,Menàrguens,0,55,0,55
25/06/2021,03,Alt Penedès,080581,Castellet i la Gornal,110,0,0,110
25/06/2021,41,Vallès Oriental,082107,Sant Feliu de Codines,4,10,0,14
25/06/2021,20,Gironès,171426,Quart,0,0,0,0
25/06/2021,24,Osona,082418,Sant Sadurní d'Osormort,28,0,0,28
26/06/2021,10,Baix Empordà,170558,Colomers,90,100,0,190
26/06/2021,02,Alt Empordà,170926,Llançà,0,1,0,1
26/06/2021,13,Barcelonès,080193,Barcelona,0,0,0,0
27/06/2021,33,Segrià,250138,Alfarràs,672,2425,2072,3097
27/06/2021,02,Alt Empordà,170314,Cabanelles,0,0,0,0
27/06/2021,10,Baix Empordà,171997,Torroella de Montgrí,0,3,0,3
